Spec_interaction,EF,BEF,ISA,CSA,ITA,CTA,Comm_assembly,Spec_coexistence,Comm_composition,Diversity,S_comp_change,Beta,Species_accumulation,Dist_decay,Div_comp_gradient,Relative_commoness,Beta_related,Comm_comparison,First_author,Year,Title,Journal,Volume,Pages,DOI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"STEVENS, L",1995,MULTILEVEL SELECTION IN NATURAL-POPULATIONS OF IMPATIENS-CAPENSIS,AMERICAN NATURALIST,145,513-526,10.1086/285753
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"WINSTON, MR",1995,COOCCURRENCE OF MORPHOLOGICALLY SIMILAR SPECIES OF STREAM FISHES,AMERICAN NATURALIST,145,527-545,10.1086/285754
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"HARRISON, S",1995,TESTING A METAPOPULATION MODEL OF COEXISTENCE IN THE INSECT COMMUNITY ON,AMERICAN NATURALIST,145,546-562,10.1086/285755
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CORNELL, HV",1995,SURVIVAL PATTERNS AND MORTALITY SOURCES OF HERBIVOROUS INSECTS - SOME,AMERICAN NATURALIST,145,563-593,10.1086/285756
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BUSH, MB",1995,NEOTROPICAL PLANT REPRODUCTIVE STRATEGIES AND FOSSIL POLLEN,AMERICAN NATURALIST,145,594-609,10.1086/285757
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KASPARI, M",1995,COLONY SIZE AS A BUFFER AGAINST SEASONALITY - BERGMANNS RULE IN SOCIAL,AMERICAN NATURALIST,145,610-632,10.1086/285758
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MACKENZIE, A",1995,VARIATION IN MALE MATING SUCCESS ON LEKS,AMERICAN NATURALIST,145,633-652,10.1086/285759
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RUXTON, GD",1995,ATTRACTION TOWARD FEEDING CONSPECIFICS WHEN FOOD PATCHES ARE EXHAUSTIBLE,AMERICAN NATURALIST,145,653-660,10.1086/285760
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"LOSOS, JB",1995,STUMPED BY TREES - A GENERALIZED NULL MODEL FOR PATTERNS OF ORGANISMAL,AMERICAN NATURALIST,145,329-342,10.1086/285743
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ELLNER, S",1995,CHAOS IN A NOISY WORLD - NEW METHODS AND EVIDENCE FROM TIME-SERIES,AMERICAN NATURALIST,145,343-375,10.1086/285744
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SCHEFFER, M",1995,STUNTED GROWTH AND STEPWISE DIE-OFF IN ANIMAL COHORTS,AMERICAN NATURALIST,145,376-388,10.1086/285745
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACOSTA, FJ",1995,DISPERSED VERSUS CENTRAL-PLACE FORAGING - INTRACOLONIAL AND,AMERICAN NATURALIST,145,389-411,10.1086/285746
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"YDENBERG, RC",1995,"INTRASPECIFIC FLEDGING MASS VARIATION IN THE ALCIDAE, WITH SPECIAL",AMERICAN NATURALIST,145,412-433,10.1086/285747
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"YAMAUCHI, A",1995,THEORY OF EVOLUTION OF NEST PARASITISM IN BIRDS,AMERICAN NATURALIST,145,434-456,10.1086/285748
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MORGAN, SG",1995,ADAPTIVE SIGNIFICANCE OF THE TIMING OF LARVAL RELEASE BY CRABS,AMERICAN NATURALIST,145,457-479,10.1086/285749
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LACY, RC",1995,A SIBLING IS AS VALUABLE AS AN OFFSPRING - REPLY TO XIA,AMERICAN NATURALIST,145,480-482,10.1086/285750
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"XIA, XH",1995,REVISITING HAMILTON RULE,AMERICAN NATURALIST,145,483-492,10.1086/285751
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"JORDANO, P",1995,ANGIOSPERM FLESHY FRUITS AND SEED DISPERSERS - A COMPARATIVE-ANALYSIS OF,AMERICAN NATURALIST,145,163-191,10.1086/285735
