"n","S","Tot.incid","C_jacc","C_jacc_Z","B_jacc","B_jacc_Z"
4,4,11,0.541666666666667,-0.0150120520091918,0.541666666666667,0.0207292134265046
11,17,100,0.32403101392072,0.0811301657587317,0.539699694245149,1.66439415754456
51,14,114,0.127190377953082,0.863339545533188,0.119153134447252,0.215677474438467
5,33,68,0.278661616161616,0.0565311520187736,0.299662804515746,0.467326722271614
5,35,78,0.330252100840336,0.178246047938865,0.27471434057641,0.0685918661464922
10,99,320,0.215661964641556,0.235396972768683,0.294210999052026,2.34551389597805
11,40,201,0.319082491582492,0.434489402603336,0.412179573450088,1.95559465793174
25,79,299,0.159485780769367,0.878317693803861,0.143438675336775,1.688558221235
4,24,46,0.365942028985507,0.249555470000845,0.366454013822435,0.767816699163618
3,10,20,0.522222222222222,0.351477399666013,0.542328042328042,0.518164517361649
6,21,57,0.315714285714286,0.288318485407716,0.394924062865239,1.21719487537773
6,18,40,0.216339869281046,-0.00233373985679363,0.266250971250971,0.345358291499999
8,49,93,0.170682499190152,0.0841962619297619,0.110773661847988,-0.212076751695129
4,32,71,0.431283602150538,0.272961618548572,0.385046945391773,0.408302147165171
18,11,38,0.131469237832874,0.352910078717872,0.144491129785247,0.254568387066002
13,44,143,0.241876824725662,0.784558586491711,0.166516377562491,0.787625108090781
4,15,23,0.254761904761905,-0.0766405499253976,0.203920153920154,-0.345498085044681
3,18,23,0.325708061002179,-0.0487536952878253,0.153418803418803,-1.05862572061436
7,30,54,0.201330049261084,0.170638844255113,0.153359510695866,0.267527032817253
6,30,63,0.238697318007663,0.18232979973767,0.233882801065464,0.443215682199426
8,81,246,0.230762051734274,0.154070843794217,0.355263567021055,2.47948827368025
20,36,177,0.121519493169206,0.114329346404082,0.294998812156829,1.84736494522716
19,38,167,0.111593742258155,0.108993835599743,0.273646827962803,1.79676138145505
19,33,158,0.124715211020138,0.15100353455822,0.286719297084025,1.69728755429611
19,33,135,0.11960710206097,0.200337456935871,0.229307469884435,1.2851938007933
18,22,88,0.11039729093587,0.119622015945815,0.221143616731852,0.903708222851064
14,13,52,0.190805668690284,0.247232292936543,0.327255680827109,1.09505706898911
10,12,30,0.171320346320346,0.232057039375227,0.165308641975309,0.198212557236517
9,56,103,0.24334570191713,0.534137727328962,0.118456111609361,0.587653940079707
4,24,82,0.780797101449275,1.5212229563725,0.787037037037037,4.84686666774316
11,28,77,0.132976400436718,0.0183053911432971,0.230240189103825,0.909500859691363
53,17,158,0.163333591684737,1.21683700514209,0.113014446849715,0.21051941927868
5,42,108,0.340805265195509,0.106091121145844,0.458848772790203,1.72274667981923
5,23,69,0.400065876152833,-0.00459843107308312,0.583611971104231,1.71744527543051
5,34,95,0.383511586452763,0.159861502301734,0.507589505003298,1.87028368580989
5,24,69,0.46292270531401,0.705854570341494,0.655760326629892,2.99660872617166
