"n","S","Tot.incid","C_jacc","C_jacc_Z_sim2","C_jacc_Z_IT","B_jacc","B_jacc_Z_sim2","B_jacc_Z_IT"
15,17,64,0.112842365967366,0.0348494182580235,-0.311230423071441,0.301660138802996,1.19957127494691,0.544827684284276
15,17,64,0.131194255091314,0.128335332870262,-0.20589827912278,0.233657665086237,0.78079046031675,0.327717699179
15,17,67,0.148723906812142,0.135931980124114,-0.246379283982734,0.273790733076447,0.986256994597232,0.47745114960455
17,16,138,0.326358215586157,0.402130855401341,0.654912405909624,0.48473645431366,1.4011674031614,1.32708658852736
14,8,45,0.251627340913055,0.66368280498218,0.227714371761002,0.419832548403977,1.1308643470774,0.517152146629064
17,71,376,0.168281775890369,0.249678242031463,-0.0504180249807098,0.348240834317128,3.09559132089424,1.60503663478928
40,10,91,0.168504381755156,0.631640743556268,0.326610675939641,0.149465811965812,0.123366801948062,-0.248555329089926
3,60,77,0.3469868173258,0.00556248308070483,-0.416292241905401,0.139642804860196,-2.2237773343013,-1.18437746249529
8,16,19,0.116666666666667,-0.0433246996259509,-0.465955337823362,0.0408163265306122,-0.375749280131611,-0.412601062084934
4,6,13,0.433333333333333,0.260351476704485,0.160445784610575,0.291666666666667,-0.38766567873352,-0.0144928533939484
14,17,60,0.153426761147349,0.223935781602107,-0.164304213886809,0.225398411112697,0.768346103837614,0.298356159673131
6,12,22,0.253535353535354,0.263815495975105,-0.248476984648921,0.221851851851852,0.470948012369084,0.110899769770226
8,15,38,0.184886621315193,0.123767397230735,-0.287558157449303,0.238973922902494,0.551950995979977,0.235872723416636
8,36,135,0.436547619047619,0.937750340233032,0.59168453248956,0.41154000203507,2.50248388779422,1.72764723802052
9,36,144,0.334320357772739,0.553643484244097,0.27519813318181,0.409074253793654,2.00762454130536,1.54966757684547
4,35,59,0.285434173669468,-0.0170416856025273,-0.355422769629545,0.265203685203685,-0.0273540926770623,0.262262902441766
6,34,75,0.265983363042187,0.245179582028152,-0.166995422139858,0.241098351940457,0.54195075211131,0.471467845904877
4,18,41,0.398148148148148,-0.071059806652799,-0.00479308801091454,0.46963649096002,0.634199202401276,1.2418349161786
3,16,32,0.508333333333333,0.159028932501929,0.0503245773235777,0.525274725274725,0.34732819895884,1.49176809519036
7,24,65,0.248826777087647,0.189561555342597,-0.124083386252239,0.282652548198767,0.577609814326304,0.515810531635881
6,16,48,0.390277777777778,0.485392620018659,0.255272910195028,0.409266474266474,0.885464403886112,1.08657504953867
7,72,296,0.433037111558238,0.46089604050228,0.522341183398791,0.532796761355532,2.89437771004845,3.32939335716952
5,19,57,0.431968810916179,0.350954645059134,0.253309093848376,0.606804567981039,1.93029639741614,2.16754979741529
5,15,58,0.603809523809524,-0.0965029449047516,0.935660881803191,0.732875457875458,1.23265315200512,2.44109319517322
5,85,183,0.277147525676937,0.0235121126640627,-0.230291374110967,0.322480160924941,1.04375403602419,1.17082672162765
5,76,168,0.28472514619883,0.0263053840547798,-0.20916748920286,0.335414934676866,1.01287138720257,1.27378773897889
16,25,48,0.0992777777777778,0.138793617176424,-0.224745328703604,0.0605759980759981,-0.0280624274735498,-0.30533408798835
6,8,24,0.430357142857143,0.386329899415838,0.50925834442743,0.29484126984127,-0.291528313419071,0.156756323203879
6,9,39,0.553703703703704,0.0521280537869842,0.918878796616876,0.646296296296296,0.623166298705969,1.56515050848944
3,8,14,0.404761904761905,-0.0988916183445328,-0.225484248302475,0.337301587301587,-0.55446801883041,0.202634867700155
