"n","S","Tot.abu","CA_rho","CA_cov","CA_cov_hell","CA_cor","CA_cor_hell","CA_bray","CA_hell","CA_ruz","CA_chi","CA_ratio","CA_cor_hell_Z","CA_hell_Z","CA_rho_Z","CA_bray_Z","CA_ruz_Z","CA_chi_Z"
6,12,67,0.361427355656647,0.70959595959596,0.0523610227548884,0.361418322682436,0.368300788140761,0.653997340926111,0.856189936752401,0.738117450641629,2.15049601997533,4.94805194805195,NA,0.244906325325229,-2.63868880319979,0.245383987024469,0.212616155508766,0.754466361693972
4,8,73,-0.130290583115811,-0.630952380952381,-0.0175793581177154,-0.137648936296464,-0.13985980506352,0.800528912366061,1.04380983159035,0.868548684105749,1.92142464971031,0.363636363636364,NA,1.20942602093928,-0.0263807602438539,1.09755389148759,0.9378285302724,1.53553843892573
3,10,96,0.0547578136697279,4.92592592592593,0.0204399249237961,0.08505522602025,0.0702490225707557,0.728074234124295,0.820983160826072,0.809958074928312,1.45485569419958,1.5,-4.17793995099928,1.20208858570463,-3.09122342735662,1.04060982277982,0.947279926457087,1.35638612017679
7,18,313,0.0069564176446206,0.515561780267663,0.000118543351110451,0.00758842146914665,0.00786219354749933,0.85245037814521,1.11150641804222,0.901102225913665,4.70456133169968,1.6025641025641,-2.37771998822285,1.29462209425253,-1.97308312206186,1.06124157899459,0.943316940472993,3.93926328026829
6,9,206,0.184200714112957,-1.46296296296296,0.0207424859397819,0.162347966381167,0.204425841397029,0.673316054447569,0.803091717101502,0.782524343608646,1.557790962215,2.88679245283019,-0.710060528393027,0.72666820239299,-0.694447260659024,0.525753075048798,0.490644358547799,1.12420922428197
7,72,17472,0.272025067777131,1343.98060585737,0.0276061117730775,0.296060588440352,0.303201758319078,0.821175656046023,0.849395408500333,0.885136529729797,1.91550391814504,11.1610486891386,-19.411867155131,4.30881818194943,-2.92954528270027,1.54192760851707,1.29582338563633,4.94880782680309
5,19,7749,0.019230795444587,-676.345029239766,0.0049837899076667,-0.0147247037871877,-0.00335924938050698,0.860357835438944,0.945574950429232,0.904853896346111,2.15728845064306,2.86206896551724,-18.1446953550927,3.93777563955236,-5.46987042534323,1.26490969314708,1.06242750488491,5.70537225861551
5,15,11016,-0.0104173175241006,-324.140952380952,-0.000856299629096718,-0.00825805000983957,-0.0118791867502691,0.844415202227186,0.841433513564688,0.904223223415441,1.76998981567077,0.722222222222222,-10.7402236546926,9.62592930830073,-4.32298077378393,2.38359276266945,1.96134997353589,11.1338909126213
5,85,3627,0.00333754759600058,0.464411764705882,-6.23202219454828e-06,0.00143335919593074,0.00198758419511905,0.867785021873095,1.07104339983922,0.912998990311018,2.20069018916307,1.96791443850267,-1.07335216845682,2.77783233478417,-0.924222991143113,1.60276041562919,1.34318086676444,3.4064862634055
5,76,2983,-0.000980004346063746,1.92212280701754,-0.000121122485181969,-0.000884623943706084,-0.000587257427602823,0.859545134014876,1.06299839853136,0.908749784859808,2.18723542285357,1.78443113772455,-1.46025202641114,2.79697108443902,-1.25799784344707,1.65304169371744,1.36857978138925,3.51397286507006
16,25,417,0.0281492438711917,-0.355486111111111,0.00179711619522056,0.0307525546545947,0.0296587563068148,0.939107415453297,1.28459067757205,0.960350681638279,5.59211757475009,1.51681957186544,-4.15107734968152,1.74057144507757,-4.20620152364623,1.52118225512764,1.28690463600687,3.65064786188884
6,8,94,-0.11918292181992,-0.789285714285714,-0.0144347471914224,-0.129419536895309,-0.126089360796513,0.847257678991329,1.12452227340167,0.906189054134033,2.39725928722836,0.357142857142857,-0.803314022014428,1.57648800660733,-0.506839495197031,1.48292403465612,1.27466696307245,1.77791263631747
3,8,84,0.0596383207527788,-0.30952380952381,0.00496198100181341,0.0378885976898503,0.058546033045552,0.7167133574247,0.888029652667575,0.795845182335229,1.35792576817371,1,NA,0.761673598467078,NA,0.668350167847194,0.538356316583749,0.752529844133537
