"n","S","Tot.incid","Whitt","C_segSc","C_togSc","C_jacc","C_sor","C_forbes","C_alroy","C_FETmP","C_pears","C_match","C_ratio","C_combo","C_checker","C_conn","C_segSc_Z","C_togSc_Z","C_jacc_Z","C_sor_Z","C_match_Z"
5,9,27,1.66666666666667,0.0194444444444444,0.205555555555556,0.550462962962963,0.680930335097002,1.27932098765432,0.950104255842222,0.675,0.460812980690015,0.655555555555556,4.19047619047619,5,1,0.6,-0.878707500142747,0.944124801075823,0.927242220268625,0.953587248282348,0.913589731215676
4,4,13,1.23076923076923,0.0555555555555556,0.0833333333333333,0.708333333333333,0.817460317460317,1.01851851851852,0.962962962962963,0.520833333333333,0.111111111111111,0.708333333333333,1.22222222222222,3,0,0.8125,-0.163732101700018,0.162127497586595,0.233434329191837,0.225391256091992,0.210075157138685
4,3,12,1,0,0,1,1,1,1,0.5,NA,1,NA,1,0,1,NA,NA,NA,NA,NA
51,41,285,7.33684210526316,0.0107757054041129,0.0549249163079866,0.159832678015748,0.250243013975882,2.96495695057107,0.543493307557383,0.767683710482372,0.207047229423251,0.807125777140124,9.37105549510337,45,207,0.136298421807747,-1.33669813526028,1.52016550416878,1.60593324177003,1.47844065340572,1.47686417364644
9,23,92,2.25,0.0203118137900747,0.0555555555555556,0.292714411192672,0.379174157109521,1.47326470113737,0.767309238317572,0.567421105464584,0.165140756666763,0.525691699604743,3.94495412844037,9,56,0.444444444444444,-0.462300449980348,0.476804153236573,0.46390862141493,0.454712205574153,0.480576242018669
15,22,94,3.51063829787234,0.03718820861678,0.0484023912595341,0.145102840882062,0.21988986998038,1.06405242484788,0.483657774575394,0.530257044542759,0.0343586850646177,0.596536796536796,1.81194029850746,15,95,0.284848484848485,-0.12235358984223,0.149051299592515,0.132263197533381,0.145657556043851,0.141716549623278
15,31,127,3.66141732283465,0.0334664618535586,0.0490322580645161,0.142426957749538,0.21324086013241,1.10030340989442,0.474537166230082,0.542931357770067,0.0460177397149254,0.613189964157706,2.62393162393162,15,206,0.273118279569892,-0.164816023616037,0.174552455142148,0.179216490342568,0.177741622382201,0.173606488566865
3,62,115,1.61739130434783,0.0590516481579411,0.196897585052001,0.55676009166226,0.666666666666667,1.25409836065574,0.90142698803454,0.56892296844703,0.361702127659574,0.617662612374405,17.6382978723404,3,158,0.618279569892473,-0.511343543388481,0.513782606550476,0.510365741165479,0.510345585366676,0.5153012810331
8,65,270,1.92592592592593,0.0399038461538462,0.0918269230769231,0.385824748168498,0.50850509800029,1.44423997034711,0.864857405991897,0.579690934065934,0.187007330116123,0.543149038461539,10.5094339622642,8,165,0.519230769230769,-0.483718764487607,0.501899845487244,0.504461056249287,0.498477093894602,0.499682549281851
15,17,64,3.984375,0.0380252100840336,0.0399859943977591,0.112842365967366,0.173044057213904,1.02806757172566,0.417557832373633,0.506633562515915,0.00741731054652668,0.618627450980392,1.11244979919679,15,69,0.250980392156863,-0.038088903325804,0.0291060923028077,0.0366333785521061,0.0357464588565415,0.0260721511128629
